ID Number   Direction Changes      Random Motions              Status
1               10001               13407                     Destroyed
2               10001               13400                     Destroyed
3               10001               13347                     Destroyed
4                5674                7516                       Escaped
5               10001               13312                     Destroyed
6               10001               13345                     Destroyed
7               10001               13379                     Destroyed
8               10001               13347                     Destroyed
9               10001               13292                     Destroyed
10               10001               13381                     Destroyed
11               10001               13236                     Destroyed
12               10001               13192                     Destroyed
13               10001               13533                     Destroyed
14               10001               13326                     Destroyed
15               10001               13387                     Destroyed
16                5402                7188                       Escaped
17               10001               13302                     Destroyed
18               10001               13417                     Destroyed
19                4965                6546                       Escaped
20               10001               13287                     Destroyed
21                4908                6540                       Escaped
22               10001               13295                     Destroyed
23               10001               13278                     Destroyed
24               10001               13295                     Destroyed
25               10001               13394                     Destroyed
26                9337               12459                       Escaped
27               10001               13375                     Destroyed
28               10001               13351                     Destroyed
29               10001               13317                     Destroyed
30               10001               13335                     Destroyed
31               10001               13272                     Destroyed
32               10001               13351                     Destroyed
33               10001               13317                     Destroyed
34               10001               13309                     Destroyed
35               10001               13347                     Destroyed
36               10001               13401                     Destroyed
37               10001               13230                     Destroyed
38                1778                2392                       Escaped
39                4566                6100                       Escaped
40               10001               13340                     Destroyed
41               10001               13206                     Destroyed
42               10001               13215                     Destroyed
43               10001               13367                     Destroyed
44                2400                3209                       Escaped
45               10001               13356                     Destroyed
46               10001               13322                     Destroyed
47               10001               13351                     Destroyed
48               10001               13253                     Destroyed
49               10001               13425                     Destroyed
50               10001               13291                     Destroyed
51                7863               10440                       Escaped
52               10001               13307                     Destroyed
53               10001               13337                     Destroyed
54               10001               13393                     Destroyed
55               10001               13340                     Destroyed
56                7898               10524                       Escaped
57                8262               10987                       Escaped
58               10001               13292                     Destroyed
59               10001               13362                     Destroyed
60               10001               13331                     Destroyed
61                8776               11615                       Escaped
62               10001               13341                     Destroyed
63               10001               13311                     Destroyed
64               10001               13280                     Destroyed
65                6174                8196                       Escaped
66               10001               13359                     Destroyed
67               10001               13222                     Destroyed
68                2429                3194                       Escaped
69               10001               13343                     Destroyed
70                5064                6810                       Escaped
71               10001               13410                     Destroyed
72               10001               13456                     Destroyed
73               10001               13259                     Destroyed
74                6810                9042                       Escaped
75                6227                8250                       Escaped
76               10001               13405                     Destroyed
77                7859               10460                       Escaped
78               10001               13241                     Destroyed
79               10001               13393                     Destroyed
80               10001               13430                     Destroyed
81               10001               13217                     Destroyed
82               10001               13377                     Destroyed
83               10001               13399                     Destroyed
84                2722                3615                       Escaped
85               10001               13268                     Destroyed
86               10001               13319                     Destroyed
87               10001               13268                     Destroyed
88               10001               13380                     Destroyed
89               10001               13340                     Destroyed
90                5050                6788                       Escaped
91               10001               13341                     Destroyed
92               10001               13320                     Destroyed
93               10001               13441                     Destroyed
94               10001               13412                     Destroyed
95                7685               10214                       Escaped
96               10001               13490                     Destroyed
97               10001               13205                     Destroyed
98               10001               13319                     Destroyed
99               10001               13503                     Destroyed
100               10001               13380                     Destroyed
101               10001               13365                     Destroyed
102                7682               10289                       Escaped
103               10001               13396                     Destroyed
104               10001               13314                     Destroyed
105               10001               13344                     Destroyed
106                2004                2684                       Escaped
107                8181               10923                       Escaped
108               10001               13408                     Destroyed
109               10001               13337                     Destroyed
110               10001               13317                     Destroyed
111               10001               13285                     Destroyed
112               10001               13296                     Destroyed
113                1198                1585                       Escaped
114               10001               13322                     Destroyed
115               10001               13295                     Destroyed
116               10001               13309                     Destroyed
117               10001               13399                     Destroyed
118               10001               13320                     Destroyed
119               10001               13174                     Destroyed
120                9664               12905                       Escaped
121               10001               13289                     Destroyed
122               10001               13427                     Destroyed
123               10001               13302                     Destroyed
124               10001               13376                     Destroyed
125                3393                4558                       Escaped
126                4859                6408                       Escaped
127               10001               13415                     Destroyed
128               10001               13406                     Destroyed
129               10001               13367                     Destroyed
130               10001               13274                     Destroyed
131               10001               13332                     Destroyed
132               10001               13380                     Destroyed
133                3736                4983                       Escaped
134               10001               13311                     Destroyed
135               10001               13248                     Destroyed
136               10001               13286                     Destroyed
137                5353                7172                       Escaped
138                8946               11988                       Escaped
139               10001               13208                     Destroyed
140               10001               13305                     Destroyed
141               10001               13404                     Destroyed
142                7605               10108                       Escaped
143               10001               13300                     Destroyed
144               10001               13268                     Destroyed
145               10001               13269                     Destroyed
146               10001               13428                     Destroyed
147                9703               12964                       Escaped
148               10001               13361                     Destroyed
149                5696                7620                       Escaped
150               10001               13377                     Destroyed
151               10001               13400                     Destroyed
152               10001               13295                     Destroyed
153                6640                8898                       Escaped
154               10001               13203                     Destroyed
155                3827                5154                       Escaped
156               10001               13304                     Destroyed
157               10001               13346                     Destroyed
158               10001               13273                     Destroyed
159               10001               13244                     Destroyed
160               10001               13346                     Destroyed
161               10001               13299                     Destroyed
162               10001               13284                     Destroyed
163                7281                9638                       Escaped
164               10001               13317                     Destroyed
165               10001               13334                     Destroyed
166               10001               13381                     Destroyed
167                5108                6861                       Escaped
168               10001               13283                     Destroyed
169               10001               13281                     Destroyed
170               10001               13335                     Destroyed
171               10001               13151                     Destroyed
172               10001               13360                     Destroyed
173               10001               13457                     Destroyed
174               10001               13185                     Destroyed
175               10001               13288                     Destroyed
176               10001               13330                     Destroyed
177               10001               13318                     Destroyed
178                8486               11351                       Escaped
179               10001               13339                     Destroyed
180                2791                3724                       Escaped
181               10001               13304                     Destroyed
182               10001               13328                     Destroyed
183               10001               13312                     Destroyed
184                5727                7539                       Escaped
